ID,Start_time,"Completion
time",Age_range,"Gender 
","I_find_the_information_in_the_video_useful_on_keeping_fit_and_healthy_as_a_senior
","I_find_the_duration_of_the_video_sufficient
","After_watching_the_video_I_know_some_exercises_to_improve_my_mobility_and_overall_strength 
","I_understand_the_importance_of_doing_mobility_and_strength_training_exercises

","After_watching_the_video_I_know_how_to_do_the_basic_mobility_and_strength_training_exercises_on_my_own

","I_will_be_recommending_this_video_to_other_family_members_and_friends

","How_useful_were_the_videos_by_the_health_experts? 
","Any_videos_that_you_would_like_to_see_more_of?_(You_can_choose_multiple_answers)


","Any_other_comments

"
1,8/27/22 11:59:01,8/27/22 12:00:38,50 - 59,Male ,5,4,4,4,4,4,4,1,
2,8/29/22 8:03:41,8/29/22 8:04:32,Below 50,Male ,5,4,5,4,5,4,4,3,
3,8/29/22 9:52:12,8/29/22 11:38:06,Below 50,Female ,5,2,5,5,5,5,5,1,"Well done, the segments are concise and to the point. Variety of presenters and topics means it doesn’t get too boring. 
"
4,8/29/22 13:02:08,8/29/22 13:02:56,Below 50,Female ,5,5,5,5,5,5,5,1,
5,8/29/22 13:16:15,8/29/22 13:17:12,Below 50,Male ,5,4,5,5,5,5,4,1,
6,8/29/22 17:30:10,8/29/22 17:31:35,Below 50,Female ,5,3,4,5,5,5,4,2,
7,8/31/22 20:08:24,8/31/22 20:11:01,50 - 59,Female ,5,5,5,5,5,5,5,1,"Our coach Mei En recommended us to keep fit, very very good!"
8,8/31/22 20:08:26,8/31/22 20:19:47,50 - 59,Female ,5,5,5,5,5,5,5,1,Our coach Mei en encouraged me to stay active 
9,8/31/22 21:43:57,8/31/22 21:48:54,50 - 59,Male ,3,3,4,5,4,4,4,1,
10,8/31/22 21:42:12,8/31/22 21:49:36,50 - 59,Female ,4,4,4,4,4,3,4,2,
11,8/31/22 22:47:27,8/31/22 22:47:40,50 - 59,Female ,5,5,5,5,5,5,5,3,Good public service video to create awareness
12,9/1/22 7:30,9/1/22 7:30,60 - 69,Female ,5,5,5,5,5,5,5,3,
13,9/1/22 8:19,9/1/22 8:34,50 - 59,Male ,5,4,4,5,4,5,4,3,Could include diet to compliment exercising.
14,9/1/22 8:45,9/1/22 8:46,60 - 69,Female ,5,4,5,5,5,5,5,1,
15,9/1/22 8:49,9/1/22 8:51,Below 50,Male ,4,4,4,4,4,4,4,2,
16,9/1/22 8:52,9/1/22 8:56,60 - 69,Male ,5,5,5,5,5,5,5,1,Good to remind participants to understand their own health condition b4 embarking on an exercise regiment especially those who hv not been doing exercises for long. 
17,9/1/22 9:01,9/1/22 9:02,50 - 59,Female ,4,3,4,4,4,3,3,3,
18,9/1/22 9:15,9/1/22 9:16,Below 50,Male ,4,3,5,5,5,4,5,1,video can have multiple languages and maybe a standalone exercise clip so seniors can quickly find it to do the exercises
19,9/1/22 9:23,9/1/22 9:29,50 - 59,Male ,4,3,4,4,4,3,3,1,"Provide subtitle on screen
"
20,9/1/22 9:58,9/1/22 10:00,50 - 59,Female ,5,5,5,4,4,5,4,1,
21,9/1/22 11:00,9/1/22 11:02,50 - 59,Male ,5,4,5,5,5,4,5,3,Would be good to include music in some parts of the video.
22,9/1/22 11:51,9/1/22 11:53,Below 50,Female ,4,2,4,5,4,4,3,2,Shorten the video to 5 mins. No need expert advice 
23,9/1/22 12:06,9/1/22 12:07,Below 50,Female ,5,5,5,5,5,5,5,2,
24,9/1/22 12:50,9/1/22 12:52,50 - 59,Male ,4,4,5,5,4,5,5,2,Have more videos with shorter duration. 
25,9/1/22 13:02,9/1/22 13:03,50 - 59,Male ,4,3,4,4,4,4,4,3,
26,9/1/22 13:28,9/1/22 13:30,50 - 59,Female ,4,3,5,5,5,4,4,1,
27,9/1/22 13:53,9/1/22 13:54,Below 50,Male ,4,3,4,5,4,3,4,1,
28,9/1/22 15:15,9/1/22 15:16,50 - 59,Female ,5,4,4,4,4,4,5,1,
29,9/1/22 15:41,9/1/22 15:42,60 - 69,Female ,4,4,4,4,4,4,4,1,
30,9/1/22 18:12,9/1/22 18:13,50 - 59,Female ,5,5,5,5,5,5,5,1,Well documented 
31,9/1/22 19:12,9/1/22 19:13,50 - 59,Female ,4,3,4,4,4,4,4,1,
32,9/1/22 19:15,9/1/22 19:17,50 - 59,Female ,5,4,4,5,5,4,4,2,
33,9/1/22 19:19,9/1/22 19:20,60 - 69,Female ,5,3,4,4,4,4,4,3,
34,9/1/22 19:23,9/1/22 19:25,60 - 69,Female ,4,4,4,4,4,4,4,1,No
35,9/1/22 20:40,9/1/22 20:43,50 - 59,Female ,4,4,5,5,4,4,4,1,
36,9/2/22 2:01,9/2/22 2:03,60 - 69,Male ,4,4,4,4,4,3,4,1,
37,9/2/22 9:54,9/2/22 9:56,70 - 79,Female ,5,5,5,5,5,5,5,1,
38,9/2/22 10:14,9/2/22 10:17,60 - 69,Female ,4,4,4,4,4,4,4,1,Helps for instructors repeat when to breath in and breath out.
39,9/2/22 11:23,9/2/22 11:26,50 - 59,Female ,5,4,4,4,5,4,5,2,The video was well plan and informative  Thks. 
40,9/3/22 19:37,9/3/22 19:38,60 - 69,Female ,5,5,5,5,5,5,5,1,Keep up the good work!
