,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage
0,Asia,Afghanistan,162926.0,4063.047,7414.0,5125146.0,9.71,40099462.0,54.422,18.6,2.581,1803.987,0.0,597.029,9.59,0.0,0.0,0.5,64.83,0.511,5.5
1,not_applicable,Africa,10887086.0,7818.968,238995.0,355122976.0,10.59,1392394303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8
2,Europe,Albania,258543.0,90567.168,3346.0,0.0,0.0,2854710.0,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,78.57,0.795,21.7
3,Africa,Algeria,252117.0,5706.849,6579.0,0.0,0.0,44177969.0,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,76.88,0.748,27.4
4,Europe,Andorra,35958.0,454968.748,145.0,0.0,0.0,79034.0,163.755,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,0.0,83.73,0.868,25.6
5,Africa,Angola,98116.0,2843.631,1895.0,0.0,0.0,34503774.0,23.89,16.8,2.405,5819.495,0.0,276.045,3.94,0.0,0.0,0.0,61.15,0.581,8.2
6,North America,Antigua and Barbuda,6627.0,71089.895,127.0,0.0,0.0,93220.0,231.845,32.1,6.933,21490.943,0.0,191.511,13.17,0.0,0.0,3.8,77.02,0.778,18.9
7,South America,Argentina,8378656.0,185054.149,121273.0,88886968.0,78.29,45276780.0,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,16.2,27.7,5.0,76.67,0.845,28.3
8,Asia,Armenia,367795.0,131780.16,8053.0,0.0,0.0,2790974.0,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,75.09,0.776,20.2
9,not_applicable,Asia,100783563.0,21474.218,1297042.0,6832062513.0,60.91,4693235454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
10,Oceania,Australia,2580386.0,99547.747,3835.0,49866290.0,77.97,25921089.0,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13.0,16.5,3.84,83.44,0.944,29.0
11,Europe,Austria,1835602.0,205736.957,17207.0,17776006.0,76.45,8922082.0,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,81.54,0.922,20.1
12,Asia,Azerbaijan,658470.0,63848.59,8734.0,12000767.0,45.98,10312992.0,119.309,32.4,6.018,15847.419,0.0,559.812,7.11,0.3,42.5,4.7,73.0,0.756,19.9
13,North America,Bahamas,32562.0,79827.215,746.0,0.0,0.0,407906.0,39.497,34.3,8.996,27717.847,0.0,235.954,13.17,3.1,20.4,2.9,73.92,0.814,31.6
14,Asia,Bahrain,374575.0,255985.758,1408.0,3357017.0,81.6,1463265.0,1935.907,32.4,2.372,43290.705,0.0,151.689,16.52,5.8,37.6,2.0,77.29,0.852,29.8
15,Asia,Bangladesh,1798833.0,10621.592,28394.0,0.0,0.0,169356251.0,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,3.6
16,North America,Barbados,44430.0,158001.422,280.0,0.0,0.0,281200.0,664.463,39.8,14.952,16978.068,0.0,170.05,13.57,1.9,14.5,5.8,79.19,0.814,23.1
17,Europe,Belarus,742953.0,77567.339,6052.0,0.0,0.0,9578168.0,46.858,40.3,14.799,17167.967,0.0,443.129,5.18,10.5,46.1,11.0,74.79,0.823,24.5
18,Europe,Belgium,3155239.0,271735.843,29052.0,24212562.0,76.56,11611420.0,375.564,41.8,18.571,42658.576,0.2,114.898,4.29,25.1,31.4,5.64,81.63,0.931,22.1
19,North America,Belize,50487.0,126207.719,625.0,0.0,0.0,400031.0,16.426,25.0,3.853,7824.362,0.0,176.957,17.11,0.0,0.0,1.3,74.62,0.716,24.1
20,Africa,Benin,26450.0,2035.101,163.0,0.0,0.0,12996895.0,99.11,18.8,3.244,2064.236,49.6,235.848,0.99,0.6,12.3,0.5,61.77,0.545,9.6
21,Asia,Bhutan,4891.0,6290.789,4.0,0.0,0.0,777486.0,21.188,28.6,4.885,8708.597,1.5,217.066,9.75,0.0,0.0,1.7,71.78,0.654,6.4
22,Europe,Bosnia and Herzegovina,347467.0,106228.387,14447.0,0.0,0.0,3270943.0,68.496,42.5,16.569,11713.895,0.2,329.635,10.08,30.2,47.7,3.5,77.4,0.78,17.9
23,Africa,Botswana,253036.0,97756.819,2581.0,0.0,0.0,2588423.0,4.044,25.8,3.941,15807.374,0.0,237.372,4.81,5.7,34.4,1.8,69.59,0.735,18.9
24,South America,Brazil,25463530.0,118807.347,627589.0,362503209.0,69.95,214326223.0,25.04,33.5,8.552,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,22.1
